green,red,IR,acc_x,acc_y,acc_z,sample_index
81609,179385,223206,2.5064816735,-9.5976114486,-0.861416136,1
81668,179396,223232,2.5244278430000002,-9.5413801175,-0.7202396026000001,2
81741,179401,223197,2.4215364712,-9.6418786667,-0.7573283529,3
81855,179424,223218,2.3976082452,-9.4002035841,-0.7740781111,4
81994,179429,223226,2.5136601413,-9.5928258034,-0.7609175868,5
82110,179454,223219,2.4191436486,-9.4803631412,-0.8087740388,6
82262,179447,223242,2.5734807063,-9.5162554802,-0.8901300072,7
82332,179445,223245,2.4837498588,-9.5425765288,-0.8255237969999999,8
82443,179435,223242,2.4454646972,-9.4815595525,-0.885344362,9
82553,179466,223252,2.4430718746,-9.5066841898,-0.7944171031999999,10
82485,179469,223238,2.5806591741,-9.576076045199999,-0.7728816998,11
81995,179410,223215,2.5148565526000004,-9.5042913672,-0.8805587168,12
81664,179371,223176,2.4873390927,-9.564111932200001,-0.8458627891,13
81605,179393,223171,2.452643165,-9.4863451977,-0.8207381518,14
81613,179381,223173,2.452643165,-9.579665279099999,-0.7429714173,15
81714,179386,223187,2.5674986498,-9.4935236655,-0.8207381518,16
81886,179416,223269,2.4993032057,-9.6023970938,-0.9595218625999999,17
82072,179381,223269,2.5316063108,-9.4695954395,-0.8063812161999999,18
82168,179337,223274,2.4466611085,-9.5330052384,-0.8506484343,19
82195,179465,223259,2.4909283265999997,-9.497112899400001,-0.7728816998,20
82251,179448,223257,2.4598216327999998,-9.5282195932,-0.8554340795,21
82340,179453,223295,2.5543381254999997,-9.5342016497,-0.7334001269,22
82469,179470,223253,2.4789642136,-9.5449693514,-0.7668996433,23
82580,179496,223278,2.4227328825,-9.497112899400001,-0.7393821834000001,24
82708,179536,223273,2.4239292938,-9.5007021333,-0.7166503687,25
82830,179576,223320,2.5220350203999997,-9.5617191096,-0.8027919822999999,26
82956,179563,223340,2.4849462701,-9.4827559638,-0.7992027483999999,27
83044,179559,223263,2.4478575198,-9.4528456813,-0.7836494015,28
83127,179556,223316,2.5268206656,-9.4468636248,-0.6735795618999999,29
83098,179538,223297,2.4035903017,-9.559326287,-0.7190431913,30
82718,179474,223270,2.548356069,-9.4839523751,-0.7190431913,31
82283,179447,223221,2.4011974791,-9.5521478192,-0.765703232,32
82130,179423,223219,2.4813570362,-9.5258267706,-0.8327022648,33
82137,179437,223210,2.4382862294,-9.5904329808,-0.8039883936,34
82209,179450,223232,2.5447668351,-9.5449693514,-0.8542376682,35
82317,179462,223226,2.4861426814,-9.4923272542,-0.7740781111,36
82467,179456,223242,2.4574288102,-9.5976114486,-0.7716852885,37
82547,179468,223226,2.4741785684,-9.4947200768,-0.7824529901999999,38
82577,179472,223270,2.5686950610999997,-9.5736832226,-0.8374879099999999,39
82610,179453,223230,2.3928226,-9.5808616904,-0.8123632727,40
82678,179550,223192,2.4969103831,-9.464809794299999,-0.8207381518,41
82758,179476,223239,2.5902304645,-9.455238503899999,-0.8255237969999999,42
82840,179472,223256,2.4981067944,-9.6323073763,-0.7668996433,43
82944,179436,223253,2.5686950610999997,-9.523433948000001,-0.7286144817,44
83057,179416,223239,2.488535504,-9.5748796339,-0.8542376682,45
