green,red,IR,acc_x,acc_y,acc_z,sample_index
95501,196784,248900,-9.1346002755,-1.7778671918,2.2923240508,1
95482,196785,248890,-9.2267239456,-1.770688724,2.4263221164,2
95724,196804,248936,-9.064012008799999,-1.6965112234000002,2.4275185276999998,3
95980,196860,248962,-9.2171526552,-1.6187444889,2.3748764305,4
96236,196914,249005,-9.1417787433,-1.8628123941,2.344966148,5
96408,196914,248978,-9.3523471321,-1.7910277161,2.3066809864,6
96488,196933,248960,-9.3116691479,-1.6689937635,2.3617159062,7
96561,196929,249030,-9.1680997919,-1.7276179172000001,2.3904297774,8
96667,196943,249026,-9.1274218077,-1.770688724,2.3330020350000003,9
96823,196984,249054,-9.260223461999999,-1.6713865861,2.4095723582,10
97020,197000,249065,-9.2697947524,-1.7419748528,2.3952154226,11
97199,197021,249080,-9.272187575,-1.6522440053,2.3473589706,12
97419,197054,249063,-9.1848495501,-1.5876377951,2.3102702203,13
97576,197114,249083,-9.2279203569,-1.7300107398,2.3006989299,14
97814,197144,249144,-9.2434737038,-1.7503497318999999,2.3545374384,15
97912,197147,249111,-9.2817588654,-1.6701901747999999,2.3593230836,16
97436,197041,249064,-9.2458665264,-1.7874384822,2.3114666316,17
96371,196823,248876,-9.21236701,-1.6043875533,2.2660030021999997,18
95692,196726,248839,-9.109475638200001,-1.770688724,2.368894374,19
95546,196734,248831,-9.290133744499999,-1.7563317884,2.3976082452,20
95664,196749,248846,-9.2147598326,-1.710868159,2.3760728418,21
95830,196800,248907,-9.1824567275,-1.6761722313,2.3832513096,22
96127,196813,248903,-9.1776710823,-1.7168502155,2.3401805028,23
96398,196871,249025,-9.2494557603,-1.6917255782,2.2935204621,24
96515,196901,248950,-9.247062937699999,-1.7730815466,2.4083759468999997,25
96645,196882,248905,-9.2219383004,-1.7647066674999998,2.3353948576,26
96748,196899,249030,-9.2829552767,-1.6139588437,2.4634108667000003,27
96905,196912,249024,-9.2267239456,-1.7982061838999999,2.3976082452,28
97093,196960,249049,-9.1513500337,-1.8005990065,2.3712871966,29
97289,196940,249040,-9.299705034899999,-1.7276179172000001,2.3341984463,30
97490,196992,249030,-9.2087777761,-1.746760498,2.3880369548,31
97727,197075,249082,-9.3140619705,-1.7802600144,2.3389840915,32
97944,197051,249057,-9.1453679772,-1.7838492483,2.3928226,33
98150,197088,249090,-9.1501536224,-1.6785650538999999,2.356930261,34
98264,197064,249108,-9.332008140000001,-1.7036896912000001,2.2995025186,35
97669,196963,248968,-9.1154576947,-1.8053846516999998,2.2636101795999997,36
96659,196761,248878,-9.2398844699,-1.6941184008,2.3988046565,37
96083,196677,248856,-9.1836531388,-1.722832272,2.356930261,38
96010,196687,248826,-9.3882394711,-1.6941184008,2.2360927197000002,39
96175,196734,248889,-9.340383019099999,-1.6785650538999999,2.3282163898,40
96406,196780,248902,-9.2159562439,-1.6725829974,2.3234307446,41
96741,196825,248925,-9.1908316066,-1.5708880369,2.3856441322,42
97032,196854,248952,-9.1058864043,-1.6881363443,2.3330020350000003,43
97190,196930,248954,-9.371489712899999,-1.5649059803999998,2.4394826406999996,44
97275,196845,248986,-9.2039921309,-1.7551353771,2.3665015514,45
97380,196890,248967,-9.2578306394,-1.7754743692000001,2.2827527603999997,46
97538,196913,249018,-9.1860459614,-1.7383856189,2.368894374,47
97720,196948,249058,-9.1441715659,-1.7515461432000001,2.3653051401,48
97947,196989,249088,-9.2458665264,-1.7024932798999999,2.4023938904,49
98173,197004,249069,-9.2279203569,-1.7264215058999999,2.3186450994000003,50
98408,197049,249077,-9.1716890258,-1.7419748528,2.3114666316,51
98674,197090,249129,-9.1202433399,-1.6594224731,2.3521446158,52
98741,197095,249079,-9.117850517299999,-1.6701901747999999,2.3964118339,53
98197,196973,249037,-9.4719882621,-1.6797614652,2.4011974791,54
97228,196801,248947,-9.2769732202,-1.7012968686,2.344966148,55
96669,196712,248877,-9.1836531388,-1.7036896912000001,2.3018953412000003,56
96656,196739,248847,-9.153742856300001,-1.6043875533,2.3700907853,57
96814,196746,248976,-9.2219383004,-1.7563317884,2.3258235672,58
97078,196812,248946,-9.2315095908,-1.8675980393,2.3461625592999997,59
97415,196873,249012,-9.3379901965,-1.6917255782,2.3641087288000002,60
97679,196935,249018,-9.219545477799999,-1.7192430381,2.309073809,61
97835,196953,249099,-9.1058864043,-1.698904046,2.3736800192,62
97927,196928,249048,-9.3774717694,-1.6642081183,2.2648065909,63
97991,196990,249086,-9.2171526552,-1.6271193679999998,2.4442682859,64
98109,196983,249058,-9.178867493599999,-1.7395820302,2.4299113503,65
98267,197023,249109,-9.2434737038,-1.6295121905999999,2.3736800192,66
98469,196945,249137,-9.3786681807,-1.6749758199999998,2.3856441322,67
98664,197067,249151,-9.1680997919,-1.6905291669,2.3545374384,68
