green,red,IR,acc_x,acc_y,acc_z,sample_index
115193,199785,254746,3.3308090592,-8.846265152199999,-2.297109696,1
115247,199833,254710,3.3547372851999997,-8.7888374098,-2.3425733254,2
115369,199829,254766,3.4372896648999998,-8.817551281,-2.2049860259000003,3
115480,199835,254841,3.5820554322,-8.8390866844,-2.3018953412000003,4
115636,199855,254787,3.3954152694,-8.7732840629,-2.3282163898,5
115745,199883,254839,3.4600214796,-8.7924266437,-2.321037922,6
115928,199875,254870,3.2829526072,-8.73380249,-2.285145583,7
116112,199886,254913,3.5006994637999997,-8.8869431364,-2.3138594542,8
116235,199955,254907,3.4002009146,-8.7852481759,-2.3892333661,9
116423,199947,254923,3.4660035360999997,-8.7960158776,-2.3234307446,10
116545,200005,254937,3.4528430117999998,-8.9383888223,-2.3545374384,11
116710,199948,254982,3.2889346637,-8.8785682573,-2.2695922361,12
116863,200021,254968,3.4971102299,-8.8965144268,-2.3784656644,13
116969,200066,254970,3.4205399067,-8.8522472087,-2.3102702203,14
117100,200038,254949,3.4277183745,-8.8247297488,-2.3593230836,15
116843,199993,254934,3.4528430117999998,-8.7732840629,-2.3473589706,16
116344,199912,254864,3.4025937372,-8.8343010392,-2.297109696,17
115858,199761,254824,3.3643085755999995,-8.8426759183,-2.3258235672,18
115449,199803,254786,3.5018958750999998,-8.73380249,-2.2157537276,19
115122,199806,254735,3.3750762773,-8.8869431364,-2.3593230836,20
114942,199766,254682,3.4205399067,-8.7972122889,-2.3760728418,21
114859,199783,254693,3.314059301,-8.7720876516,-2.3114666316,22
114948,199762,254714,3.5557343836,-8.7541414821,-2.3162522768000002,23
115073,199759,254775,3.4229327293,-8.7637127725,-2.2863419943,24
115205,199689,254742,3.4552358344000003,-8.865407733,-2.261217357,25
115301,199770,254768,3.4145578502,-8.8474615635,-2.2935204621,26
115321,199812,254764,3.3810583338,-8.764909183799999,-2.3282163898,27
115435,199771,254747,3.3535408739,-8.889335959,-2.3377876802,28
115559,199839,254768,3.4528430117999998,-8.8151584584,-2.297109696,29
115678,199819,254807,3.4157542615,-8.8008015228,-2.3425733254,30
115845,199854,254837,3.4707891813,-8.8307118053,-2.3832513096,31
115986,199853,254851,3.3523444626,-8.7984087002,-2.2947168733999996,32
116152,199894,254912,3.4396824875,-8.7589271273,-2.2576281231,33
116296,199907,254868,3.4492537779,-8.8630149104,-2.2887348169,34
116471,199941,254880,3.2530423247,-8.9048893059,-2.321037922,35
116634,199948,254917,3.4348968423,-8.752945070800001,-2.2396819536,36
116712,199973,254932,3.2578279699,-8.761319949899999,-2.3617159062,37
116929,199980,254935,3.3475588174,-8.8438723296,-2.2528424779,38
117045,199993,254943,3.4049865597999998,-8.819944103600001,-2.3377876802,39
116894,199971,254949,3.3571301077999998,-8.8235333375,-2.3401805028,40
116432,199948,254872,3.3643085755999995,-8.7469630143,-2.3114666316,41
115941,199833,254838,3.5425738593,-8.781658942,-2.2671994135,42
115429,199748,254723,3.4396824875,-8.7972122889,-2.3054845751,43
115084,199730,254665,3.3643085755999995,-8.7756768855,-2.309073809,44
114861,199674,254697,3.3583265191000002,-8.774480474199999,-2.3425733254,45
114735,199683,254683,3.3284162366,-8.9024964833,-2.3425733254,46
114761,199668,254683,3.4396824875,-8.7469630143,-2.3054845751,47
114885,199721,254701,3.3427731722,-8.8582292652,-2.2420747762,48
115047,199701,254730,3.3152557123,-8.8510507974,-2.3473589706,49
115144,199746,254702,3.3643085755999995,-8.9156570076,-2.3389840915,50
115212,199726,254722,3.3882368016,-8.774480474199999,-2.3330020350000003,51
115310,199721,254713,3.4432717214,-8.8989072494,-2.3330020350000003,52
115413,199753,254744,3.5186456333,-8.831908216599999,-2.3784656644,53
115543,199763,254787,3.2973095428,-8.828318982699999,-2.2743778813,54
115719,199783,254816,3.4468609552999996,-8.6775711589,-2.2947168733999996,55
115859,199795,254815,3.4636107135,-8.793623055,-2.3318056236999998,56
116029,199821,254810,3.4121650276000004,-8.9276211206,-2.3353948576,57
116183,199837,254850,3.2626136151000003,-8.720641965699999,-2.2336998971,58
116362,199865,254877,3.2757741394,-8.7780697081,-2.3054845751,59
116502,199896,254882,3.2925238975999997,-8.7888374098,-2.3162522768000002,60
116665,199934,254928,3.3726834547,-8.8630149104,-2.3353948576,61
116809,199951,254902,3.4157542615,-8.8833539025,-2.3401805028,62
116979,199971,254969,3.4851461168999998,-8.8558364426,-2.2923240508,63
117108,199982,254976,3.3236305914,-8.9144605963,-2.2899312282,64
117087,199955,254986,3.2841490185,-8.952745757899999,-2.4083759468999997,65
116702,199897,254923,3.3667013982,-8.7888374098,-2.3234307446,66
116161,199832,254778,3.3906296242,-8.841479506999999,-2.368894374,67
115624,199759,254758,3.3308090592,-8.7948194663,-2.2360927197000002,68
115212,199695,254696,3.4564322457,-8.8941216042,-2.3593230836,69
114888,199688,254665,3.3236305914,-8.859425676499999,-2.297109696,70
114653,199661,254654,3.4157542615,-8.7266240222,-2.3282163898,71
114550,199667,254621,3.3954152694,-8.8223369262,-2.2995025186,72
114648,199631,254624,3.4564322457,-8.8271225714,-2.3425733254,73
114831,199653,254578,3.4624143022,-8.8977108381,-2.285145583,74
114967,199678,254654,3.4360932536,-8.749355836900001,-2.3736800192,75
115056,199680,254637,3.4731820039,-8.8127656358,-2.3760728418,76
115135,199679,254685,3.3966116807,-8.8797646686,-2.3102702203,77
115236,199706,254655,3.4372896648999998,-8.7984087002,-2.3330020350000003,78
115357,199707,254694,3.3571301077999998,-8.889335959,-2.3473589706,79
115491,199735,254722,3.3427731722,-8.8259261601,-2.3712871966,80
115664,199719,254766,3.397808092,-8.8701933782,-2.2899312282,81
115835,199816,254699,3.4947174072999996,-8.7924266437,-2.2552353005,82
115984,199780,254756,3.5006994637999997,-8.7720876516,-2.3258235672,83
116168,199815,254790,3.4384860762,-8.841479506999999,-2.3509482045,84
116358,199867,254828,3.3523444626,-8.876175434699999,-2.3521446158,85
116535,199851,254825,3.3499516399999996,-8.8486579748,-2.3330020350000003,86
116669,199900,254874,3.3762726886,-8.8390866844,-2.3988046565,87
116797,199898,254913,3.2650064377,-8.7230347883,-2.2923240508,88
116981,199948,254905,3.3822547451,-8.8103728132,-2.3377876802,89
117098,199960,254908,3.2650064377,-8.817551281,-2.3952154226,90
117270,199969,254965,3.4612178908999995,-8.939585233599999,-2.3497517932000003,91
117389,199992,254964,3.3571301077999998,-8.8390866844,-2.4251257050999997,92
117296,199954,254928,3.3547372851999997,-8.781658942,-2.3904297774,93
116888,199872,254851,3.4827532943,-8.7433737804,-2.3306092124,94
116360,199826,254803,3.3308090592,-8.8366938618,-2.3509482045,95
115846,199752,254696,3.3403803495999997,-8.846265152199999,-2.2899312282,96
115448,199720,254648,3.3487552287,-8.7804625307,-2.3796620756999998,97
115185,199682,254648,3.4755748265,-8.8163548697,-2.3042881638,98
115037,199672,254622,3.4731820039,-8.6847496267,-2.3808584870000002,99
114925,199661,254645,3.4911281734,-9.0137627342,-2.2923240508,100
115053,199708,254650,3.3966116807,-8.8701933782,-2.2899312282,101
115198,199702,254635,3.3834511564,-8.9288175319,-2.3258235672,102
115307,199690,254690,3.5330025689,-8.695517328400001,-2.2899312282,103
115383,199726,254658,3.4755748265,-8.8043907567,-2.3473589706,104
115425,199714,254669,3.3571301077999998,-8.8917287816,-2.3760728418,105
115551,199694,254692,3.5090743428999995,-8.841479506999999,-2.3665015514,106
115648,199704,254688,3.5234312785000004,-8.663214223299999,-2.2564317118,107
115788,199773,254717,3.4241291406,-8.7900338211,-2.3413769141,108
115951,199700,254756,3.3403803495999997,-8.7888374098,-2.2791635265,109
116089,199772,254739,3.4169506728,-8.8366938618,-2.261217357,110
116252,199809,254791,3.2685956716,-8.7840517646,-2.3042881638,111
116417,199845,254758,3.4971102299,-8.7182491431,-2.2648065909,112
116607,199826,254867,3.3547372851999997,-8.831908216599999,-2.2492532439999997,113
116746,199898,254848,3.4492537779,-8.7780697081,-2.2899312282,114
116917,199884,254858,3.4671999473999997,-8.8426759183,-2.2660030021999997,115
117068,199921,254869,3.4947174072999996,-8.7637127725,-2.3270199785,116
117216,199953,254917,3.3308090592,-8.6799639815,-2.309073809,117
117340,199987,254908,3.4372896648999998,-8.828318982699999,-2.2995025186,118
117278,199915,254891,3.5306097463,-8.6799639815,-2.3497517932000003,119
116896,199887,254815,3.4013973259,-8.7876409985,-2.2755742926,120
116369,199803,254782,3.6083764808,-8.8271225714,-2.2707886474,121
115913,199693,254694,3.5018958750999998,-8.9539421692,-2.3114666316,122
115558,199668,254698,3.4121650276000004,-8.8079799906,-2.2085752598,123
115329,199693,254604,3.397808092,-8.831908216599999,-2.3150558654999998,124
115199,199657,254638,3.4073793824000003,-8.8366938618,-2.2899312282,125
115202,199660,254596,3.3355947043999996,-8.7996051115,-2.3306092124,126
115320,199677,254611,3.4241291406,-8.7278204335,-2.2803599377999997,127
115468,199689,254609,3.4468609552999996,-8.8869431364,-2.3330020350000003,128
115545,199706,254651,3.4109686163,-8.7062850301,-2.356930261,129
115616,199683,254659,3.4624143022,-8.8151584584,-2.3258235672,130
115659,199705,254667,3.3714870434,-8.829515394,-2.2695922361,131
115749,199744,254627,3.3332018818,-8.817551281,-2.2671994135,132
115858,199786,254675,3.3343982931,-8.8402830957,-2.3138594542,133
116013,199764,254702,3.5353953915,-8.7876409985,-2.3114666316,134
116126,199747,254734,3.4648071248,-8.8378902731,-2.2995025186,135
116312,199799,254700,3.3750762773,-8.8259261601,-2.3330020350000003,136
116410,199837,254762,3.4289147858,-8.7302132561,-2.2995025186,137
116630,199828,254761,3.3403803495999997,-8.8390866844,-2.3952154226,138
116738,199871,254781,3.2997023654,-8.817551281,-2.3138594542,139
116903,199873,254805,3.3930224468000003,-8.913264185,-2.3593230836,140
117030,199906,254856,3.3667013982,-8.761319949899999,-2.3928226,141
117178,199923,254829,3.3774690999,-8.926424709299999,-2.3665015514,142
117291,199942,254832,3.3762726886,-8.8510507974,-2.2899312282,143
117263,199914,254818,3.5138599880999997,-8.8953180155,-2.2767707039,144
116820,199803,254769,3.3104700671000002,-8.757730716,-2.3030917525,145
