green,red,IR,acc_x,acc_y,acc_z,sample_index
82004,165230,217475,-2.021935097,-1.8329021116,9.4923272542,1
82151,165322,217514,-1.8484554585000001,-1.7862420709,9.456434915200001,2
82363,165343,217503,-1.8161523534,-1.8161523534,9.523433948000001,3
82583,165390,217531,-1.842473402,-1.7240286833,9.5198447141,4
82750,165386,217577,-1.9860427579999997,-1.7491533206,9.5306124158,5
82883,165440,217573,-1.8879370314,-1.7563317884,9.5677011661,6
83102,165484,217605,-1.9070796122,-1.6881363443,9.4372923344,7
83281,165493,217652,-1.9130616687,-1.722832272,9.523433948000001,8
83478,165566,217626,-1.8939190879,-1.7168502155,9.407382051899999,9
83683,165486,217664,-1.8173487647,-1.7814564256999998,9.5258267706,10
83882,165642,217714,-2.0614166699,-1.79461695,9.5916293921,11
84101,165698,217746,-1.9573288867999998,-1.8281164664,9.4253282214,12
84301,165707,217772,-1.9992032822999999,-1.890329854,9.5258267706,13
84502,165752,217798,-1.9657037659,-1.6797614652,9.4588277378,14
84695,165741,217838,-1.8915262653,-1.806581063,9.4612205604,15
84869,165810,217839,-1.8723836845000001,-1.7599210223,9.5964150373,16
85111,165862,217883,-1.9262221929999999,-1.7539389658,9.391828705,17
85237,165903,217895,-1.962114532,-1.7754743692000001,9.6442714893,18
84770,165816,217837,-1.7970097726,-1.7359927963,9.4947200768,19
83547,165611,217663,-1.8269200550999998,-1.8113667082,9.4372923344,20
82683,165447,217580,-1.9525432416,-1.9022939669999999,9.5162554802,21
82148,165380,217523,-1.9429719511999999,-1.8317057003,9.5018985446,22
81806,165332,217477,-2.0398812665,-1.8652052167000002,9.4624169717,23
81520,165234,217401,-1.9561324755,-1.7371892076000002,9.468399028199999,24
81267,165211,217392,-2.0243279196,-1.7682959014000001,9.4827559638,25
81243,165169,217363,-1.9058832009,-1.7838492483,9.4707918508,26
81365,165202,217387,-1.8293128776999998,-1.7431712641,9.487541608999999,27
81518,165179,217388,-1.9046867896,-1.8616159827999998,9.511469835,28
81513,165209,217412,-1.9573288867999998,-1.6809578765,9.5210411254,29
81524,165208,217396,-1.9788642901999998,-1.6845471104,9.5042913672,30
81552,165220,217397,-1.9274186043000001,-1.7001004573,9.4827559638,31
81776,165271,217421,-1.9154544913,-1.8089738856,9.4181497536,32
81968,165274,217434,-1.9022939669999999,-1.7886348934999998,9.5449693514,33
82112,165311,217472,-1.8532411037,-1.6881363443,9.5677011661,34
82335,165312,217515,-1.9896319919,-1.7623138449,9.5605226983,35
82488,165339,217557,-1.9094724347999998,-1.9513468303000001,9.5066841898,36
82675,165364,217501,-1.8173487647,-1.7503497318999999,9.477970318599999,37
82882,165446,217589,-1.9788642901999998,-1.7001004573,9.5330052384,38
83085,165455,217628,-1.9322042495,-1.770688724,9.5246303593,39
83307,165494,217643,-1.7790636031,-1.7180466268,9.5365944723,40
83513,165557,217692,-1.9501504189999999,-2.0350956213,9.497112899400001,41
83722,165598,217712,-1.8699908619,-1.7431712641,9.4444708022,42
83910,165544,217738,-1.9262221929999999,-1.7970097726,9.5437729401,43
84106,165640,217705,-2.0853448959,-1.6809578765,9.5904329808,44
84287,165685,217776,-2.0039889275,-1.7694923127,9.554540641800001,45
84509,165650,217757,-1.9752750562999999,-1.7455640867,9.5533442305,46
84707,165791,217809,-2.069791549,-1.7527425545,9.5617191096,47
84602,165749,217806,-1.8867406201,-1.8005990065,9.549754996599999,48
83599,165624,217723,-1.8939190879,-1.6953148121,9.468399028199999,49
82599,165431,217574,-1.9812571127999998,-1.7970097726,9.4660062056,50
81934,165389,217487,-1.9716858223999998,-1.8209379986,9.4803631412,51
81530,165274,217437,-1.9238293703999998,-1.7012968686,9.5509514079,52
81389,165210,217449,-1.9824535241,-1.7144573929,9.5330052384,53
81160,165162,217382,-1.9166509025999998,-1.7216358607,9.576076045199999,54
81116,165138,217392,-1.938186306,-1.6821542877999998,9.509077012399999,55
81273,165183,217364,-1.9645073545999998,-1.782652837,9.5844509243,56
81459,165192,217429,-1.9310078382,-1.7850456596,9.4983093107,57
81467,165160,217406,-1.9130616687,-1.7216358607,9.4480600361,58
81448,165173,217402,-2.0315063874,-1.7778671918,9.475577496,59
81541,165195,217470,-1.9202401365000001,-1.7312071511,9.5617191096,60
81699,165236,217436,-2.0315063874,-1.7431712641,9.5533442305,61
81940,165277,217475,-1.9262221929999999,-1.8400805794,9.5736832226,62
82123,165292,217496,-1.9166509025999998,-1.6438691261999998,9.523433948000001,63
82307,165291,217520,-1.998006871,-1.6235301341000001,9.4492564474,64
82479,165351,217545,-1.938186306,-1.8436698133,9.5617191096,65
82655,165395,217540,-1.938186306,-1.8281164664,9.4923272542,66
82825,165394,217597,-1.9082760235,-1.7407784414999998,9.5306124158,67
83049,165460,217591,-2.0075781614,-1.7001004573,9.5581298757,68
83251,165505,217657,-1.9872391693,-1.8329021116,9.523433948000001,69
83473,165556,217698,-1.8855442087999998,-1.8472590472,9.5030949559,70
83667,165572,217760,-1.9070796122,-1.806581063,9.4899344316,71
83874,165622,217732,-1.8843477975,-1.7539389658,9.5521478192,72
84039,165675,217796,-1.9764714676,-1.7922241274,9.4289174553,73
84248,165700,217800,-1.8556339263000001,-1.8269200550999998,9.4540420926,74
84412,165732,217822,-1.9764714676,-1.7024932798999999,9.5724868113,75
84580,165779,217827,-1.9597217094,-1.7563317884,9.5018985446,76
84122,165692,217804,-1.91425808,-1.8460626359,9.5569334644,77
83000,165488,217655,-2.0386848552,-1.6929219895,9.4731846734,78
82120,165368,217550,-1.8735800958,-1.7120645703,9.5030949559,79
81658,165233,217510,-1.9429719511999999,-1.710868159,9.5018985446,80
81422,165265,217451,-1.9549360641999998,-1.7515461432000001,9.5820581017,81
81188,165183,217393,-1.8783657409999999,-1.8113667082,9.4851487864,82
81025,165140,217392,-2.0901305410999997,-1.734796385,9.4947200768,83
81090,165136,217365,-1.9537396529,-1.7670994901,9.5485585853,84
81297,165106,217376,-1.8005990065,-1.8089738856,9.510273423700001,85
81410,165200,217429,-1.9441683625,-1.7766707805,9.5330052384,86
81426,165167,217406,-2.0147566292,-1.7718851352999998,9.5533442305,87
81468,165181,217449,-1.9166509025999998,-1.7647066674999998,9.4444708022,88
81602,165175,217432,-1.9549360641999998,-1.7958133612999998,9.5521478192,89
81791,165251,217440,-1.8879370314,-1.8281164664,9.5581298757,90
82028,165261,217488,-1.8879370314,-1.7910277161,9.463613383,91
