green,red,IR,acc_x,acc_y,acc_z,sample_index
84255,184862,237772,-0.2440679052,9.9720881855,0.7130611348,1
84459,184903,237780,-0.1782652837,9.8057870148,0.8219345630999999,2
84774,185111,237947,-0.1974078645,9.7244310464,0.7082754896000001,3
85214,185470,238276,-0.22492532440000002,9.8859465719,0.741775006,4
85659,185806,238610,-0.16271193679999998,9.8297152408,0.6616154488999999,5
86049,186041,238909,-0.23928226,9.7244310464,0.7082754896000001,6
86426,186262,239122,-0.1495514125,9.8010013696,0.7166503687,7
86796,186372,239319,-0.34337004309999997,9.8285188295,0.741775006,8
87129,186527,239406,-0.1531406464,9.6012006825,0.6987041992,9
87431,186606,239455,-0.17228322719999997,9.844072176400001,0.7549355303,10
87455,186658,239534,-0.10648060570000001,9.785448022699999,0.7190431913,11
86379,186817,239659,-0.2309073809,9.8057870148,0.6759723845,12
84787,186797,239679,-0.0825523797,9.8380901199,0.7597211755,13
83983,186707,239613,-0.1495514125,9.852447055499999,0.6664010940999999,14
83825,186380,239298,-0.143569356,9.8249295956,0.6137589969,15
83790,185877,238720,-0.191425808,9.6717889492,0.5946164161,16
83829,185393,238255,-0.1782652837,9.8428757651,0.7226324252,17
84054,185134,238024,-0.1543370577,9.8428757651,0.6699903279999999,18
84337,185096,238030,-0.0921236701,9.8380901199,0.7034898444000001,19
84512,185177,238042,-0.2584248408,9.7531449176,0.7082754896000001,20
84558,185182,238007,-0.2285145583,9.7878408453,0.7788637562999999,21
84551,185019,237856,-0.1974078645,9.8476614103,0.7274180704000001,22
84720,185308,238154,-0.23569302609999998,9.8045906035,0.6879364975,23
85006,186016,238635,-0.2105683888,9.7304131029,0.7322037156,24
85299,186479,238914,-0.30747770409999997,9.8428757651,0.5754738353000001,25
85602,186681,239056,-0.2847458894,9.7196454012,0.6747759731999999,26
85953,187034,239301,-0.4594219392,9.7244310464,0.6699903279999999,27
86341,187516,239690,-0.3206382284,9.7770731436,0.6317051664,28
86817,188307,240376,-0.4354937132,9.8189475391,0.5994020613,29
87393,189459,241334,-0.3122633493,9.738787982,0.71784678,30
88026,190310,242068,-0.2847458894,9.6227360859,0.6556333924,31
88032,190788,242507,-0.4450650036,9.7519485063,0.6269195211999999,32
86906,190751,242552,-0.526420972,9.8991070962,0.6125625856,33
85401,190070,242084,-0.5060819799,9.7710910871,0.59820565,34
84440,188759,241016,-0.2763710103,9.8632147572,0.6077769404,35
83957,187391,239910,-0.41156548719999997,9.634700198900001,0.574277424,36
83773,186562,239283,-0.4570291166,9.7340023368,0.6640082715,37
83872,186168,239056,-0.44386859230000003,9.7914300792,0.7262216591,38
84231,186146,239033,-0.2739781877,9.6251289085,0.7070790783,39
84574,186186,239236,-0.4582255279,9.8010013696,0.6400800455,40
84793,186355,239335,-0.263210486,9.8428757651,0.6364908116,41
84866,186302,239344,-0.2979064137,9.7052884656,0.6317051664,42
84972,186317,239287,-0.5060819799,9.8057870148,0.6017948839,43
85209,186314,239335,-0.4295116567,9.8775716928,0.7022934331,44
85469,186365,239299,-0.2452643165,9.8010013696,0.59820565,45
85757,186447,239481,-0.3397808092,9.7710910871,0.6556333924,46
86069,186520,239527,-0.40558343069999997,9.8045906035,0.6508477471999999,47
86303,186450,239504,-0.2823530668,9.8237331843,0.6604190376,48
86542,186406,239440,-0.311066938,9.8668039911,0.6508477471999999,49
86802,186431,239477,-0.2177468566,9.9003035075,0.6233302873,50
87086,186476,239552,-0.2584248408,9.7914300792,0.5563312545,51
87120,186604,239665,-0.3302095188,9.9433743143,0.5706881900999999,52
86117,186792,239809,-0.30747770409999997,9.7340023368,0.6269195211999999,53
84485,186865,239924,-0.3122633493,9.786644434,0.5886343596,54
83566,186893,240009,-0.3780659708,9.8620183459,0.6029912952,55
83373,186921,240053,-0.263210486,9.8596255233,0.6269195211999999,56
83457,186966,240067,-0.3206382284,9.7304131029,0.5886343596,57
83678,186967,240122,-0.4103690759,9.8476614103,0.6831508522999999,58
84076,186974,240120,-0.2213360905,9.7040920543,0.6125625856,59
84509,187006,240207,-0.38763726119999997,9.6634140701,0.5312066172,60
84778,187000,240164,-0.107677017,9.8153583052,0.5946164161,61
